name,score,date
"""C:/Program Files/Python38/python.exe"" c:/Users/tautv/OneDrive/Documents/GitHub/snake-game-oop/main.py",0,2026-04-15 21:44:29
"""C:/Program Files/Python38/python.exe"" c:/Users/tautv/OneDrive/Documents/GitHub/snake-game-oop/main.py",4,2026-04-15 21:45:09
"""C:/Program Files/Python38/python.exe"" c:/Users/tautv/OneDrive/Documents/GitHub/snake-game-oop/main.py",0,2026-04-15 21:50:01
"""C:/Program Files/Python38/python.exe"" c:/Users/tautv/OneDrive/Documents/GitHub/snake-game-oop/main.py",0,2026-04-15 21:50:05
